pattern,lc #,problem name,difficulty,generated template?,explanation?,solution generated?,worked through?
,494,count of subset sum,hard,,,,
,494,target sum,hard,,,,
fibonacci numbers (dynamic programming),509,fibonacci numbers,easy,,,,
,70,staircase,easy,,,,
,139,number factors,medium,,,,
,45,minimum jumps to reach the end,medium,,,,
,746,minimum jumps with fee,medium,,,,
,198,house thief,medium,,,,
palindromic subsequence (dynamic programming),516,longest palindromic subsequence,medium,,,,
,5,longest palindromic substring,medium,,,,
,647,count of palindromic substrings,medium,,,,
,131,minimum deletions in a string to make it a palindrome,medium,,,,
,132,minimum palindromic partitioning,medium,,,,
backtracking,39,combination sum,medium,,,,
,79,word search,medium,,,,
,254,factor combinations,medium,,,,
,1593,split a string into the max number of unique substrings,medium,,,,
,37,sudoku solver,hard,,,,
trie,208,implement trie (prefix tree),medium,,,,
,1065,index pairs of a string,easy,,,,
,211,design add and search words data structure,medium,,,,
,2707,extra characters in a string,medium,,,,
,1268,search suggestions system,medium,,,,
topological sort,207,course schedule,medium,,,,
,210,course schedule ii,medium,,,,
,269,alien dictionary,hard,,,,
,444,sequence reconstruction,hard,,,,
,310,minimum height trees,hard,,,,
union find,684,redundant connection,medium,,,,
,547,number of provinces,medium,,,,
,785,is graph bipartite?,medium,,,,
,1631,path with minimum effort,medium,,,,
ordered set,2363,merge similar items,easy,,,,
,456,132 pattern,medium,,,,
,729,my calendar i,medium,,,,
,1438,longest continuous subarray,medium,,,,
prefix sum,1991,find the middle index in array,easy,,,,
,2574,left and right sum differences,easy,,,,
,325,maximum size subarray sum equals k,medium,,,,
,930,binary subarrays with sum,medium,,,,
,974,subarray sums divisible by k,medium,,,,
,1686,sum of absolute differences in a sorted array,medium,,,,
,560,subarray sum equals k,medium,,,,
multi-threaded,100,same tree,medium,,,,
,226,invert binary tree,medium,,,,
,173,binary search tree iterator,medium,,,, 
,miscellaneous,215,kth smallest number,hard,,,,
test your knowledge (easy),1,two sum,easy,,,,
,367,valid perfect square,easy,,,,
,121,best time to buy and sell,easy,,,,
,20,valid parentheses,easy,,,,
,572,subtree of another tree,easy,,,,
,1603,design parking system,easy,,,,
test your knowledge (medium),739,daily temperatures,medium,,,,
,49,group anagrams,medium,,,,
,394,decode string,medium,,,,
,36,valid sudoku,medium,,,,
,238,product of array except self,medium,,,,
,152,maximum product subarray,medium,,,,
,11,container with most water,medium,,,,
,647,palindromic substrings,medium,,,,
,19,remove nth node from end of list,medium,,,,
,153,find minimum in rotated sorted array,medium,,,,
,417,pacific atlantic water flow,medium,,,,
,98,validate binary search tree,medium,,,,
,105,construct binary tree from preorder and inorder traversal,medium,,,,
,133,clone graph,medium,,,,
,213,house robber ii,medium,,,,
,91,decode ways,medium,,,,
,62,unique paths,medium,,,,
,139,word break,medium,,,,
,235,lowest common ancestor of a binary search tree,medium,,,,
,128,longest consecutive sequence,medium,,,,
,253,meeting rooms ii,medium,,,,
,271,encode and decode strings,medium,,,,
,323,number of connected components in an undirected graph,medium,,,,
,261,graph valid tree,medium,,,,
,208,implement trie (prefix tree),medium,,,,
,211,design add and search words data structure,medium,,,,
test your knowledge (hard),32,longest valid parentheses,hard,,,,
,297,serialize and deserialize binary tree,hard,,,, 
